"","race","period","sex","age","foi_mean","foi_cri_lb","foi_cri_ub"
"576","Non-Hispanic Black",1991,"Male",70,0.00171934519344901,0.000889383639191363,0.00331847835185278
"577","Non-Hispanic Black",1991,"Male",71,0.00162536647732081,0.0008318630491734,0.00316929020671643
"578","Non-Hispanic Black",1991,"Male",72,0.00153644432920987,0.000778389304304673,0.00302642419944758
"579","Non-Hispanic Black",1991,"Male",73,0.00145231800002042,0.000728793189160473,0.00288922587853428
"580","Non-Hispanic Black",1991,"Male",74,0.00137273881810557,0.000680463717268642,0.00275786272731386
"581","Non-Hispanic Black",1991,"Male",75,0.00129746978937807,0.00063584463782791,0.00263213388111887
"582","Non-Hispanic Black",1991,"Male",76,0.0012262851910242,0.000589724432383872,0.00251182794276207
"583","Non-Hispanic Black",1991,"Male",77,0.00115897016197316,0.000546925193524467,0.00239673871570194
"584","Non-Hispanic Black",1991,"Male",78,0.00109532029285612,0.000510393345972447,0.00228666533948525
"585","Non-Hispanic Black",1991,"Male",79,0.00103514121781089,0.000477496199672189,0.0021814123924024
"586","Non-Hispanic Black",1991,"Male",80,0.00097824821014644,0.000445906967763635,0.00208078996423847
"587","Non-Hispanic Black",1991,"Male",81,0.000924465783575029,0.000417076382520493,0.00198461370186773
"588","Non-Hispanic Black",1991,"Male",82,0.00087362730044465,0.000389231486123108,0.00189270483029857
"589","Non-Hispanic Black",1991,"Male",83,0.000825574588159772,0.000363085726957197,0.00180489015163123
"590","Non-Hispanic Black",1991,"Male",84,0.00078015756476038,0.00033786306143007,0.00172100202424428
"591","Non-Hispanic Black",1991,"Male",85,0.000737233874436583,0.000316057920861656,0.00164087832437989
"592","Non-Hispanic Black",1991,"Male",86,0.000696668533585992,0.000293688429143686,0.00156436239215306
"593","Non-Hispanic Black",1991,"Male",87,0.000658333587871734,0.000274210575045935,0.00149130296386846
"594","Non-Hispanic Black",1991,"Male",88,0.000622107780608366,0.000256433373881603,0.00142155409239038
"595","Non-Hispanic Black",1991,"Male",89,0.000587876232689294,0.000239660580696894,0.00135497505717795
"596","Non-Hispanic Black",1991,"Male",90,0.000555530134170887,0.000224072990560603,0.00129143026546953
"597","Non-Hispanic Black",1991,"Male",91,0.000524966447543717,0.000209034834381397,0.0012307891459776
"598","Non-Hispanic Black",1991,"Male",92,0.00049608762264888,0.000194614699286307,0.00117292603633899
"599","Non-Hispanic Black",1991,"Male",93,0.00046880132313575,0.000180686546975993,0.00111772006545457
"600","Non-Hispanic Black",1991,"Male",94,0.000443020164305668,0.000167752950286049,0.00106505503174864
"601","Non-Hispanic Black",1991,"Male",95,0.000418661462142811,0.000156489142120953,0.00101481927828025
"602","Non-Hispanic Black",1991,"Male",96,0.00039564699329786,0.000146216587924675,0.000966905565546992
